className,amplifiedClass,targets,mutationScoreBefore,mutationScoreAfter,mutationImprove,numberOfOriginalTestMethods,targetLoc,testLoc,testAmpLoc,n_amplifiedMethods,n_notCoveredInOriginal,n_newCovered,n_notCoveredInAmplified,n_methodsNotProfiled,timeTotal,max_number_of_changes,numberOfProcessedMethods,testClassTimeToRunInMillis,numberOfAllMutationsInOriginal,numberOfTestMethodsBeforeShreding,timeBudgetFinished,duplicateMutants
PMBDF2SolverTest,PMBDF2SolverTest28,PMBDF2Solver,60.47,81.40,20.93,4,72,77,28,1,17,9,8,0,15,2,4,2,43,4,False,0
PMBDF2StepperTest,PMBDF2StepperTest34,PMBDF2Stepper,94.44,94.44,0.00,5,15,94,0,0,1,0,1,0,20,0,5,107,18,5,False,0
PMBDF3SolverTest,PMBDF3SolverTest22,PMBDF3Solver,64.63,64.63,0.00,3,101,74,0,0,29,0,29,0,16,0,3,4,82,3,False,0
PMBDF3StepperTest,PMBDF3StepperTest28,PMBDF3Stepper,95.24,95.24,0.00,4,15,58,0,0,1,0,1,0,10,0,4,2,21,4,False,0
PMBDF4SolverTest,PMBDF4SolverTest22,PMBDF4Solver,64.71,64.71,0.00,3,148,82,0,0,36,0,36,0,21,0,3,4,102,3,False,0
PMBDF4StepperTest,PMBDF4StepperTest28,PMBDF4Stepper,95.83,95.83,0.00,4,17,80,0,0,1,0,1,0,7,0,4,2,24,4,False,0
PMBernoulliGeneratorTest,PMBernoulliGeneratorTest28,PMBernoulliGenerator,76.47,94.12,17.65,4,29,21,31,2,4,3,1,0,7,2,4,1,17,4,False,0
PMBinomialGeneratorTest,PMBinomialGeneratorTest22,PMBinomialGenerator,83.33,91.67,8.33,3,24,41,19,1,2,1,1,0,262,0,3,173,12,3,False,0
PMClusterFinderTest,PMClusterFinderTest22,PMClusterFinder,79.31,86.21,6.90,3,77,57,38,2,6,2,4,1,52,2,3,40,29,3,False,0
PMComplexTest16To30,PMComplexTest72,PMComplex,74.25,76.16,1.92,15,460,94,54,3,94,7,87,15,834,2,10,3,365,67,True,0
PMComplexTest1To15,PMComplexTest76,PMComplex,74.25,76.99,2.74,15,460,108,94,4,94,10,84,16,838,1,11,4,365,67,True,0
PMComplexTest31To45,PMComplexTest64,PMComplex,74.52,75.89,1.37,15,460,103,51,3,93,5,88,16,831,3,8,3,365,67,True,0
PMComplexTest46To60,PMComplexTest77,PMComplex,74.25,74.79,0.55,15,460,99,42,3,94,3,92,12,803,3,11,3,365,67,True,0
PMComplexTest61To67,PMComplexTest46,PMComplex,74.25,74.79,0.55,7,460,47,26,2,94,2,92,13,574,1,7,2,365,67,False,0
PMCovarianceAccumulatorTest,PMCovarianceAccumulatorTest10,PMCovarianceAccumulator,90.00,90.00,0.00,1,27,22,0,0,1,0,1,0,8,0,1,1,10,1,False,0
PMDataHolderTest,PMDataHolderTest10,PMDataHolder,0.00,100.00,100.00,1,4,4,18,1,1,1,0,0,4,1,1,0,1,1,False,0
PMDecimalFloatingNumberTest,PMDecimalFloatingNumberTest52,PMDecimalFloatingNumber,95.00,95.00,0.00,8,53,69,0,0,1,0,1,0,83,0,8,2,20,8,False,0
PMDualNumberTest16To30,PMDualNumberTest94,PMDualNumber,94.12,94.12,0.00,15,153,145,0,0,7,0,7,4,172,0,15,3,119,30,False,0
PMDualNumberTest1To15,PMDualNumberTest94,PMDualNumber,94.12,94.96,0.84,15,153,140,0,0,7,1,6,6,177,0,15,3,119,30,False,0
PMErrorAsParameterFunctionTest,PMErrorAsParameterFunctionTest28,PMErrorAsParameterFunction,65.00,70.00,5.00,4,40,26,0,0,7,1,6,0,9,0,4,6,20,4,False,0
PMErrorMinimizerTest,PMErrorMinimizerTest10,PMErrorMinimizer,66.67,66.67,0.00,1,17,11,0,0,1,0,1,1,6,0,1,2,3,1,False,0
PMErrorOfParameterFunctionTest,PMErrorOfParameterFunctionTest58,PMErrorOfParameterFunction,74.29,77.14,2.86,9,97,84,39,3,27,3,24,0,90,0,9,7,105,9,False,0
PMExponentialDistributionTest,PMExponentialDistributionTest10,PMExponentialDistribution,17.50,20.00,2.50,1,82,8,13,1,33,1,32,6,17,2,1,2,40,1,False,0
PMExponentialGeneratorTest,PMExponentialGeneratorTest14,PMExponentialGenerator,90.00,100.00,10.00,3,25,21,12,1,1,1,0,0,2,0,1,4,10,3,False,0
