className,amplifiedClass,targets,mutationScoreBefore,mutationScoreAfter,mutationImprove,numberOfOriginalTestMethods,targetLoc,testLoc,testAmpLoc,n_amplifiedMethods,n_notCoveredInOriginal,n_newCovered,n_notCoveredInAmplified,n_methodsNotProfiled,timeTotal,max_number_of_changes,numberOfProcessedMethods,testClassTimeToRunInMillis,numberOfAllMutationsInOriginal,numberOfTestMethodsBeforeShreding,timeBudgetFinished,duplicateMutants
PMLaplaceGeneratorTest,PMLaplaceGeneratorTest8,PMLaplaceGenerator,33.33,66.67,33.33,1,12,4,12,1,2,1,1,0,1,0,1,1,3,1,False,0
PMMidpointStepperTest,PMMidpointStepperTest33,PMMidpointStepper,93.33,93.33,0.00,6,18,118,0,0,1,0,1,0,14,0,6,16,15,6,False,0
PMMultivariateNormalDistributionTest,PMMultivariateNormalDistributionTest22,PMMultivariateNormalDistribution,76.19,85.71,9.52,4,50,27,27,2,5,2,3,2,20,1,4,2,21,4,False,0
PMNDArrayTest,PMNDArrayTest78,PMNDArray,97.44,97.44,0.00,15,82,162,0,0,1,0,1,2,98,0,15,2,39,15,False,0
PMNNStoreTest,PMNNStoreTest63,PMNNStore,92.06,95.24,3.17,12,75,146,0,0,5,2,3,0,90,0,12,4,63,12,False,0
PMODESystemTest,PMODESystemTest23,PMODESystem,60.00,80.00,20.00,4,12,27,13,1,2,1,1,0,7,0,4,1,5,4,False,0
PMPermutationTest,PMPermutationTest28,PMPermutation,93.94,93.94,0.00,20,237,53,0,0,6,0,6,5,1069,0,5,2,99,20,True,0
PMPoissonGeneratorTest,PMPoissonGeneratorTest22,PMPoissonGenerator,90.00,90.00,0.00,4,35,24,0,0,1,0,1,0,159,0,4,3,10,4,False,0
PMPolynomialTest,PMPolynomialTest33,PMPolynomial,82.84,85.07,2.24,21,168,60,43,4,23,3,20,5,344,2,6,2,134,21,False,1
PMRungeKuttaStepperTest,PMRungeKuttaStepperTest33,PMRungeKuttaStepper,96.00,96.00,0.00,6,22,93,0,0,1,0,1,0,14,0,6,4,25,6,False,0
PMSimpleParameterFunctionTest,PMSimpleParameterFunctionTest23,PMSimpleParameterFunction,88.46,96.15,7.69,4,57,32,27,2,3,2,1,0,8,1,4,4,26,4,False,0
PMSingularValueDecompositionTest,PMSingularValueDecompositionTest73,PMSingularValueDecomposition,66.67,66.67,0.00,14,26,189,0,0,3,0,3,0,152,0,14,2,9,14,False,0
PMSymmetricMatrixTest,PMSymmetricMatrixTest23,PMSymmetricMatrix,65.82,77.22,11.39,4,221,41,17,1,27,9,18,7,96,0,4,2,79,4,False,0
PMTrapezoidStepperTest,PMTrapezoidStepperTest28,PMTrapezoidStepper,64.86,64.86,0.00,5,32,68,0,0,13,0,13,0,15,0,5,3,37,5,False,0
PMVectorTest,PMVectorTest78,PMVector,78.89,84.44,5.56,33,209,119,34,4,19,5,15,12,737,3,15,2,90,33,False,3
